,Calls_Alley,Time_Alleys,Calls_All_Out,Time_All_Out,Calls_One_Out,Time_One_Out
0111,,,10.0,4.6,34,7.17647058824
0112,2.0,43.0,19.0,3.36842105263,32,17.34375
0113,1.0,25.0,8.0,4.25,29,10.8965517241
0114,,,27.0,3.88888888889,87,10.0804597701
0121,,,19.0,1.94736842105,27,19.1851851852
0122,,,35.0,5.71428571429,54,19.3518518519
0123,3.0,33.6666666667,34.0,3.17647058824,112,6.0
0124,,,29.0,3.0,52,10.2115384615
0131,12.0,102.0,37.0,2.64864864865,63,26.5714285714
0132,3.0,61.0,23.0,3.73913043478,36,47.8888888889
0133,1.0,2.0,19.0,2.63157894737,31,13.6129032258
0211,6.0,29.0,35.0,2.08571428571,77,6.54545454545
0212,4.0,99.0,23.0,3.13043478261,48,7.4375
0213,11.0,33.6363636364,26.0,2.53846153846,56,12.2142857143
0214,30.0,80.5,11.0,15.3636363636,53,4.39622641509
0215,32.0,44.84375,27.0,7.85185185185,38,7.71052631579
0221,24.0,49.7916666667,6.0,2.16666666667,36,6.38888888889
0222,42.0,85.3571428571,40.0,3.15,98,10.112244898
0223,29.0,43.0344827586,16.0,2.5625,40,11.7
0224,21.0,125.428571429,18.0,2.5,41,7.26829268293
0225,4.0,100.25,25.0,2.84,40,8.4
0231,9.0,75.1111111111,16.0,2.875,21,15.0952380952
0232,18.0,43.1111111111,22.0,2.31818181818,17,5.29411764706
0233,12.0,54.3333333333,44.0,3.02272727273,68,6.64705882353
0234,9.0,45.4444444444,30.0,3.6,46,5.78260869565
0235,13.0,54.7692307692,34.0,2.97058823529,70,6.58571428571
0311,1.0,71.0,17.0,2.35294117647,13,10.3076923077
0312,35.0,66.7142857143,37.0,3.10810810811,47,10.6595744681
0313,20.0,53.55,26.0,2.57692307692,36,8.44444444444
0314,21.0,46.380952381,32.0,2.90625,55,11.0181818182
0321,29.0,74.0,61.0,3.19672131148,72,9.70833333333
0322,32.0,37.8125,49.0,2.83673469388,65,11.4
0323,63.0,56.0317460317,62.0,3.54838709677,71,18.7042253521
0324,66.0,72.3484848485,37.0,3.83783783784,53,12.1320754717
0331,39.0,46.8717948718,43.0,2.95348837209,62,15.8548387097
0332,30.0,36.0666666667,35.0,3.34285714286,32,18.6875
0333,26.0,62.4230769231,22.0,3.59090909091,42,7.59523809524
0334,14.0,74.0,44.0,3.88636363636,40,22.3
0411,79.0,55.2278481013,48.0,2.9375,113,12.8849557522
0412,85.0,40.6823529412,85.0,2.82352941176,152,10.4276315789
0413,123.0,33.1056910569,96.0,2.38541666667,174,8.79310344828
