,bus_Stations,Routes_Bus,Rail_Stations,Routes_Rail
0111,17.0,5.52941176471,3.0,4.0
0112,15.0,5.8,4.0,2.0
0113,12.0,5.75,4.0,2.75
0114,39.0,4.10256410256,,
0121,30.0,3.03333333333,1.0,1.0
0122,40.0,3.325,3.0,4.0
0123,32.0,2.90625,2.0,1.0
0124,19.0,2.26315789474,,
0131,49.0,1.71428571429,3.0,1.0
0132,30.0,2.23333333333,,
0133,40.0,1.35,,
0211,48.0,1.54166666667,1.0,1.0
0212,32.0,1.1875,,
0213,46.0,1.0652173913,1.0,1.0
0214,31.0,1.0,,
0215,22.0,1.09090909091,1.0,1.0
0221,25.0,1.0,,
0222,36.0,1.94444444444,,
0223,25.0,1.0,,
0224,32.0,1.25,2.0,1.0
0225,32.0,1.0625,,
0231,16.0,1.0,1.0,1.0
0232,22.0,1.09090909091,,
0233,45.0,1.35555555556,,
0234,34.0,2.02941176471,,
0235,56.0,1.71428571429,,
0311,25.0,1.08,,
0312,32.0,1.125,2.0,1.0
0313,29.0,1.10344827586,,
0314,32.0,1.40625,,
0321,55.0,1.6,,
0322,47.0,1.70212765957,,
0323,47.0,1.0,,
0324,33.0,1.0,,
0331,46.0,2.54347826087,,
0332,30.0,1.73333333333,,
0333,15.0,1.66666666667,,
0334,32.0,1.71875,,
0411,49.0,1.0,,
0412,60.0,1.06666666667,,
0413,60.0,1.85,,
0414,49.0,1.20408163265,,
0421,24.0,2.58333333333,,
0422,13.0,1.84615384615,,
0423,53.0,1.62264150943,,
0424,42.0,2.04761904762,,
0431,82.0,1.25609756098,,
0432,55.0,1.56363636364,,
0433,66.0,1.0,,
0434,30.0,1.56666666667,,
0511,93.0,2.35483870968,,
0512,36.0,1.38888888889,,
0513,36.0,1.47222222222,,
0522,23.0,1.0,,
0523,11.0,2.0,,
0524,48.0,1.33333333333,,
0531,31.0,1.8064516129,,
0532,36.0,1.41666666667,,
0533,21.0,1.14285714286,,
0611,29.0,1.06896551724,,
0612,31.0,1.1935483871,,
0613,24.0,1.20833333333,,
0614,28.0,1.14285714286,,
0621,32.0,1.34375,,
0622,32.0,1.21875,,
0623,56.0,1.33928571429,1.0,1.0
0624,39.0,1.0,,
0631,13.0,1.0,,
0632,54.0,1.0,,
0633,33.0,2.12121212121,,
0634,20.0,1.85,2.0,1.0
0711,42.0,1.11904761905,1.0,1.0
0712,32.0,1.0,,
0713,28.0,1.0,,
0714,21.0,1.0,,
0715,21.0,1.09523809524,,
0722,20.0,1.05,,
0723,22.0,1.0,1.0,1.0
0724,19.0,1.0,,
